RANK,Locality,INCIDENCE,rooftop_northeast_latitude,rooftop_northeast_longitude,rooftop_southwest_latitude,rooftop_southwest_longitude,points
1,ABREPO,464,6.75727718,-1.67857062,6.75457922,-1.68126858,"6.7572771802915,-1.67857061970849,6.75457921970849,-1.6812685802915"
2,OLD TAFO,454,6.236722187,-0.394134472,6.229128549,-0.401773492,"6.23672218734601,-0.394134472423158,6.22912854890687,-0.401773492189534"
3, KRONUM,427,,,,,",,,"
4,BANTAMA,351,6.711066986,-1.621599241,6.694039576,-1.64417265,"6.71106698564362,-1.62159924098452,6.69403957643017,-1.64417264974513"
5,SANATSI,316,,,,,",,,"
6,ADOATO - ADUMANU,306,6.710640792,-1.636920006,6.700347583,-1.652197742,"6.71064079195817,-1.636920006231,6.7003475834935,-1.65219774192872"
7,BOUKROM ESTATE,306,6.746611775,-1.57984267,6.728711949,-1.59404746,"6.746611774629,-1.57984266973734,6.72871194872988,-1.59404746000955"
8,TANOSO,289,6.699502226,-1.689286467,6.696804265,-1.691984428,"6.69950222571024,-1.68928646749518,6.69680426512724,-1.69198442807819"
9,BREMAN,260,33.79525613,-84.38855862,33.79255817,-84.39125658,"33.7952561302915,-84.3885586197085,33.7925581697085,-84.3912565802915"
10,ATONSU,259,6.664306496,-1.595141947,6.629461733,-1.620783682,"6.6643064962541,-1.59514194692848,6.62946173321423,-1.62078368216666"
11,SANTASI-AHENEMA KOKOBEN,256,6.62768733,-1.64850522,6.62498937,-1.65120318,"6.6276873302915,-1.64850521970849,6.62498936970849,-1.6512031802915"
12,SUAME,238,6.738343744,-1.628165147,6.70940463,-1.666531616,"6.73834374355006,-1.62816514689566,6.70940463045805,-1.66653161624298"
13,KWADASO,222,6.700795091,-1.644773498,6.684598324,-1.659793869,"6.70079509128745,-1.64477349835459,6.68459832377308,-1.65979386861926"
14,PANKRONO,198,6.776507651,-1.570272362,6.728882329,-1.610870403,"6.7765076506637,-1.5702723620814,6.7288823288288,-1.61087040259354"
15,ASOKWA,185,6.261465249,-1.482038454,6.236636853,-1.513881751,"6.26146524883536,-1.48203845371038,6.23663685339235,-1.51388175112073"
16,ASAWASE,181,6.709319567,-1.596128859,6.697257485,-1.613659934,"6.70931956746663,-1.59612885903734,6.69725748460596,-1.61365993420173"
17,AFRANCHO,173,7.427240819,-1.960802166,7.411154613,-1.976594831,"7.42724081917217,-1.9608021657776,7.41115461266143,-1.97659483142795"
18,ASUYEBOAH,171,6.705142644,-1.650094966,6.690267224,-1.673011824,"6.70514264403485,-1.6500949660626,6.69026722392851,-1.67301182401137"
19,SANTASI-KOTWI,157,,,,,",,,"
20,TAFO NHYIAESO,156,6.679204785,-1.612426536,6.668324291,-1.622082186,"6.67920478531707,-1.61242653625292,6.66832429139883,-1.62208218583639"
21,ASHANTI NEW TOWN,152,6.70603998,-1.62149572,6.70334202,-1.62419368,"6.7060399802915,-1.62149571970849,6.70334201970849,-1.6241936802915"
22,BOHYEN,147,6.739324066,-1.631190729,6.694018146,-1.696314799,"6.73932406568388,-1.63119072855637,6.69401814648253,-1.69631479933473"
23,AYIGYA,138,,,,,",,,"
24,KWADASO ESTATE,136,,,,,",,,"
